k	0	0	-3.4981	2.48258	-13.5246	-6.97363	-4.83236	-3.25314	-1.71278	-0.443841	0.00613497	0.0613497	0.319018	0	0.00613497	0.00613497	0.0490798	0.0368098	0.0429448	0.104294	0.110429	0.196319	0.128834	0.134969	0.184049
k	0	1	-3.50386	2.78885	-14.241	-7.01889	-5.17849	-2.90777	-1.37402	-0.323883	0.0123457	0.0617284	0.345679	0.00617284	0.00617284	0.0123457	0.037037	0.0493827	0.0679012	0.0925926	0.0864198	0.12963	0.166667	0.148148	0.197531
k	0	2	-3.64644	2.77899	-14.8589	-7.68829	-5.3348	-3.2544	-1.54467	-0.250665	0.0123457	0.0740741	0.314815	0.00617284	0.00617284	0.00617284	0.0555556	0.037037	0.0679012	0.111111	0.117284	0.123457	0.154321	0.123457	0.191358
k	0	3	-3.7902	2.88792	-14.4319	-7.40601	-5.59378	-3.43598	-1.47952	-0.436713	0.0127389	0.0700637	0.350318	0.00636943	0.00636943	0.0191083	0.0382166	0.044586	0.101911	0.0955414	0.0955414	0.152866	0.089172	0.159236	0.191083
k	0	4	-3.46795	2.79966	-18.3099	-7.29588	-4.86853	-3.25497	-1.34428	-0.227524	0.0102564	0.0717949	0.338462	0.00512821	0.00512821	0.00512821	0.0564103	0.0461538	0.0307692	0.0871795	0.148718	0.153846	0.123077	0.107692	0.230769
k	0	5	-2.94525	2.20607	-10.4354	-5.86226	-4.27335	-2.57435	-1.17986	-0.462914	0	0.0248447	0.36646	0	0	0.0186335	0.00621118	0.0186335	0.0496894	0.068323	0.130435	0.124224	0.217391	0.15528	0.21118
k	0	6	-3.98604	3.0005	-14.4317	-7.39598	-5.56701	-3.56462	-1.90443	-0.412609	0.0188679	0.0880503	0.257862	0.0125786	0.00628931	0.0377358	0.0314465	0.0440252	0.0691824	0.125786	0.125786	0.106918	0.18239	0.0691824	0.188679
k	0	7	-3.61011	2.88853	-12.6015	-7.26976	-4.96814	-3.37402	-1.2348	-0.150839	0.0182927	0.0792683	0.310976	0	0.0182927	0.0243902	0.0365854	0.0426829	0.0609756	0.0670732	0.128049	0.158537	0.152439	0.0792683	0.231707
k	0	8	-3.72646	2.97057	-16.7529	-7.9003	-5.30138	-3.0739	-1.72428	-0.510119	0.0235294	0.0882353	0.305882	0.00588235	0.0176471	0.0117647	0.0529412	0.0411765	0.0588235	0.0823529	0.105882	0.135294	0.182353	0.123529	0.182353
k	0	9	-3.29145	2.81366	-13.6248	-7.56841	-4.55579	-3.04715	-0.853983	-0.110682	0.0115607	0.0751445	0.387283	0	0.0115607	0	0.0635838	0.0404624	0.0404624	0.0693642	0.104046	0.179191	0.104046	0.121387	0.265896
k	0	10	-3.56682	2.68513	-15.46	-7.0367	-5.16561	-3.31433	-1.45168	-0.301075	0.0136364	0.0454545	0.309091	0.00454545	0.00909091	0.00454545	0.0272727	0.0590909	0.0545455	0.118182	0.113636	0.131818	0.168182	0.118182	0.190909
k	0	11	-3.80939	3.02125	-13.7515	-7.87436	-5.30149	-3.19896	-1.54187	-0.28945	0.0177515	0.0946746	0.295858	0	0.0177515	0.0236686	0.0532544	0.0650888	0.0532544	0.0650888	0.112426	0.142012	0.171598	0.106509	0.189349
